row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,PB_neg_5.mzML Peak height,Cg2_neg_12.mzML Peak height,Cg1_neg_13.mzML Peak height,Ps2_neg_14.mzML Peak height,Cg3_neg_10.mzML Peak height,Asp3_neg_19.mzML Peak height,Ps1_neg_20.mzML Peak height,Asp2_neg_16.mzML Peak height,Asp1_neg_18.mzML Peak height,Ml1_neg_9.mzML Peak height,Ps3_neg_21.mzML Peak height,Ml3_neg_17.mzML Peak height,Ml2_neg_11.mzML Peak height,QC_neg_7.mzML Peak height,QC_neg_22.mzML Peak height,QC_neg_8.mzML Peak height,QC_neg_15.mzML Peak height,QC_neg_24.mzML Peak height,
3576,413.0999958779192,2.73216,,,,,,,,,,,0,0,0,0,0,43266.43,0,75803.63,21144.525,2440.2693,0,3354.907,1527.7096,8804.535,5474.3433,6746.347,8780.372,0,
3577,335.92576076874946,2.7367916,,,,,,,,,,,0,0,0,13360.058,0,0,8520.507,0,0,2148.077,15172.585,0,0,0,0,0,0,0,
3579,310.98553269901305,2.7438524,,,,,,,,,,,0,0,0,9297.555,0,0,8736.35,0,0,5780.161,12313.92,0,0,2664.4614,0,3011.165,4597.227,9828.148,
3580,559.1928923714271,2.7417707,,,,,,,,,,,0,0,0,0,0,33593.37,0,50928.5,32884.996,0,0,0,0,2408.272,2272.4172,1577.5143,59865.527,44719.7,
3585,237.13413023672092,2.7380867,,,,,,,,,,,0,0,0,5153.426,0,17373.938,4964.567,18153.68,11911.665,0,7216.064,0,0,8265.174,8969.548,7686.0625,3539.3628,0,
3586,371.16522406614286,2.738062,,,,,,,,,,,0,0,0,4578.1333,0,8973.1045,0,8449.162,8666.679,0,0,0,0,0,0,7117.009,8280.0625,8901.062,
3588,337.1553629639814,2.7428145,,,,,,,,,,,0,0,0,0,0,8642.569,0,11930.241,18300.982,0,0,0,0,5833.6855,7074.501,6089.4517,4908.3994,7276.3145,
3589,360.13696599764666,2.741769,,,,,,,,,,,0,0,0,0,0,16061.238,0,32141.193,11155.455,0,0,0,0,6697.7144,6652.835,8948.618,8002.4077,8698.937,
3591,409.10485420911243,2.7403457,,,,,,,,,,,0,0,0,0,0,480638.7,16220.737,697493.4,434500.44,2818.4465,0,3170.389,0,158918.64,153431.44,157255.58,146257.92,111613.37,
3596,353.1140733868892,2.7334313,,,,,,,,,,,0,0,0,0,0,50546.44,0,57343.066,41770.742,0,0,0,0,3927.7356,5795.7437,22385.912,24029.547,22667.164,
