"Filename",PS-PS_neg_53.mzML,CG-C13_neg_52.mzML,MI-B14_neg_49.mzML,CG-C22_neg_50.mzML,MI-B24_neg_47.mzML,QC_neg_45.mzML,MI-ML_neg_48.mzML,QC_neg_56.mzML,QC_neg_51.mzML,PB_neg_42.mzML,CG-CG_neg_55.mzML,ASP-ASP_neg_54.mzML,QC_neg_46.mzML
4899/356.9963mz/4.65min,30313.349609375,30440.984375,31313.384765625,29287.501953125,29184.6484375,29381.251953125,28594.384765625,31295.244140625,30758.505859375,31682.234375,31005.138671875,30660.36328125,28473.00390625
4900/339.0034mz/4.64min,20043.87109375,19207.03515625,19911.291015625,20256.51171875,18218.62109375,20685.6796875,19638.087890625,20486.123046875,21592.287109375,18371.462890625,18915.1875,20167.77734375,18650.740234375
4903/423.0055mz/4.65min,23102.017578125,24277.470703125,20836.7890625,23628.9609375,23718.076171875,23651.060546875,23230.8359375,26108.892578125,25790.97265625,23076.97265625,22999.12890625,25218.9921875,23086.240234375
4910/324.9913mz/4.66min,32276.275390625,32145.716796875,31863.9296875,30655.783203125,30915.658203125,31327.7890625,31216.658203125,30800.31640625,31527.236328125,33849.60546875,30301.44921875,34674.67578125,32367.923828125
4912/372.9993mz/4.66min,15097.677734375,15840.2568359375,17871.05859375,15132.921875,15927.828125,15879.4560546875,16142.4638671875,15537.9404296875,16301.185546875,16348.7626953125,16317.927734375,16320.4443359375,17024.76171875
4913/302.9918mz/4.66min,,14776.8603515625,12775.314453125,13637.11328125,12684.0068359375,,13669.7822265625,14149.16796875,14332.853515625,14040.8271484375,,14883.6201171875,16293.1396484375
4916/390.9999mz/4.66min,22787.26953125,22009.669921875,21300.8671875,21777.142578125,22348.322265625,23145.533203125,21221.9453125,23299.50390625,22431.7421875,23233.9453125,23015.044921875,24665.92578125,21641.453125
4917/433.0070mz/4.66min,11209.1513671875,11243.3935546875,11909.4677734375,13318.556640625,10986.2041015625,11285.4130859375,10881.4755859375,11142.0654296875,,11005.494140625,11317.0263671875,11532.0126953125,11619.662109375
4918/322.9973mz/4.66min,20524.349609375,18371.322265625,19208.96875,18058.15234375,19794.7265625,17995.439453125,17602.744140625,18715.365234375,18609.826171875,19911.36328125,17694.55078125,19183.326171875,19865.119140625
4919/316.9943mz/4.66min,,15037.53125,13742.5205078125,14180.625,13623.076171875,14618.4013671875,12686.037109375,13286.048828125,15593.125,15212.6064453125,14277.37890625,15091.712890625,14062.140625
4925/455.0098mz/4.68min,13611.2451171875,14408.93359375,15243.1826171875,14543.740234375,13785.8642578125,13837.4658203125,14932.267578125,13245.9951171875,13902.8916015625,14456.8076171875,13639.330078125,14918.9423828125,13603.33203125
4926/296.9935mz/4.67min,10664.111328125,11829.4033203125,12757.3564453125,12346.537109375,12114.818359375,,12100.3388671875,13381.3779296875,13169.2021484375,,11606.1826171875,12693.6875,12615.794921875
4928/365.0047mz/4.67min,10879.884765625,11119.1796875,10675.615234375,10513.7578125,11170.1728515625,9894.1494140625,10806.5732421875,11071.3427734375,,,10352.7451171875,10414.6591796875,10602.009765625
