row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,PS-PS_neg_53.mzML Peak height,CG-C13_neg_52.mzML Peak height,MI-B14_neg_49.mzML Peak height,CG-C22_neg_50.mzML Peak height,MI-B24_neg_47.mzML Peak height,QC_neg_45.mzML Peak height,MI-ML_neg_48.mzML Peak height,QC_neg_56.mzML Peak height,QC_neg_51.mzML Peak height,PB_neg_42.mzML Peak height,CG-CG_neg_55.mzML Peak height,ASP-ASP_neg_54.mzML Peak height,QC_neg_46.mzML Peak height,
105,180.97317196235534,0.27308977,,,,,,,,,,,131637.42,20845.94,34630.51,30760.434,11484.606,172047.33,167791.72,171576.3,170635.64,188313.16,105631.18,152954.33,165586.55,
106,672.8576921242804,0.27385628,,,,,,,,,,,2757.3538,0,0,0,0,59751.59,2867.0051,61940.934,57885.203,3091.04,0,2078.2715,61010.848,
107,656.8848701675677,0.27612036,,,,,,,,,,,116134.19,0,0,0,0,114754.414,210668.64,112955.28,115119.516,247445.7,65021.99,180033.98,121342.375,
108,452.9229672466602,0.27612036,,,,,,,,,,,198195.05,0,0,0,0,219000.78,307244.2,217622.08,222782.17,384968.47,121365.97,267319.2,231516.78,
109,112.9855877369928,0.27885002,,,,,,,,,,,976163.75,183095.39,146716.25,161413.36,155504.22,1157515.5,1156685.0,1146447.5,1117856.5,1224208.1,869751.9,1121527.6,1099459.4,
111,128.9594565321528,0.2785958,,,,,,,,,,,0,421643.34,618761.5,567385.25,279723.16,8943.388,0,9550.357,9648.597,0,0,0,7793.595,
112,520.9102757488884,0.27612036,,,,,,,,,,,183330.17,0,0,0,0,192561.31,303778.88,194150.62,202943.61,375807.25,111452.25,256836.56,200293.86,
113,248.96040103831248,0.2757222,,,,,,,,,,,331448.7,2644.3264,1400.5028,0,2443.9038,467914.25,490048.38,483326.78,480024.0,554134.25,241376.94,432108.28,453022.34,
114,316.9481059896377,0.27704445,,,,,,,,,,,276202.9,0,0,0,0,374155.1,417514.16,387542.78,388836.44,496973.06,194689.3,383159.03,372597.28,
115,384.93548287034514,0.27704445,,,,,,,,,,,203948.4,0,0,0,0,224392.19,293074.1,227951.94,234044.5,314241.38,128293.23,252859.8,219547.67,
